"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.03.2024","37,36","36,47","37,51","36,47","31,84M","2,22%"
"27.03.2024","36,55","36,34","36,65","36,13","19,25M","0,80%"
"26.03.2024","36,26","36,65","36,67","36,18","24,73M","-0,93%"
"25.03.2024","36,60","36,20","36,82","36,18","26,80M","1,44%"
"23.03.2024","36,08","36,08","36,08","36,08","","0,08%"
"22.03.2024","36,05","35,93","36,20","35,46","34,33M","0,98%"
"21.03.2024","35,70","36,85","37,04","35,69","46,90M","-2,72%"
"20.03.2024","36,70","36,23","36,74","35,81","38,80M","1,75%"
"19.03.2024","36,07","36,39","36,85","35,56","48,35M","-0,74%"
"18.03.2024","36,34","36,41","36,72","35,50","35,15M","0,06%"
"15.03.2024","36,32","36,30","36,45","35,94","58,76M","0,28%"
"14.03.2024","36,22","36,74","36,92","36,15","39,70M","-0,44%"
"13.03.2024","36,38","36,90","37,33","36,31","44,74M","-1,19%"
"12.03.2024","36,82","36,35","37,23","36,16","75,94M","3,28%"
"11.03.2024","35,65","35,67","37,74","35,30","126,41M","-1,30%"
"08.03.2024","36,12","35,90","37,06","35,10","230,31M","-10,57%"
"07.03.2024","40,39","40,64","40,94","40,28","50,20M","-1,10%"
"06.03.2024","40,84","40,20","40,84","40,11","45,48M","2,20%"
"05.03.2024","39,96","40,10","40,37","39,61","30,29M","-0,30%"
"04.03.2024","40,08","40,27","40,75","40,02","21,99M","-0,25%"
"01.03.2024","40,18","40,35","40,85","40,14","31,24M","0,10%"
"29.02.2024","40,14","40,59","41,24","39,85","61,90M","-0,72%"
"28.02.2024","40,43","42,52","42,94","39,83","112,32M","-5,16%"
"27.02.2024","42,63","42,70","42,82","42,38","27,68M","-0,14%"
"26.02.2024","42,69","41,90","42,73","41,83","25,89M","1,89%"
"23.02.2024","41,90","42,14","42,24","41,61","43,89M","-0,69%"
"22.02.2024","42,19","42,67","42,68","41,80","32,16M","-0,75%"
"21.02.2024","42,51","42,45","42,72","42,13","20,87M","0,14%"
"20.02.2024","42,45","42,77","42,82","42,10","42,38M","-1,05%"
"19.02.2024","42,90","42,76","42,94","42,56","12,83M","0,49%"
"16.02.2024","42,69","42,09","42,89","42,06","37,19M","0,92%"
"15.02.2024","42,30","41,01","42,30","40,85","33,25M","3,20%"
